iter	Passed	Remaining
0	146	146256
1	148	74128
2	149	49613
3	151	37623
4	153	30504
5	154	25584
6	158	22484
7	161	20028
8	163	17973
9	165	16337
10	169	15221
11	171	14101
12	172	13070
13	173	12219
14	175	11518
15	177	10908
16	179	10384
17	198	10805
18	200	10341
19	201	9893
20	203	9477
21	204	9105
22	206	8768
23	208	8465
24	210	8205
25	212	7965
26	214	7725
27	215	7493
28	217	7297
29	219	7084
30	222	6965
31	224	6785
32	225	6612
33	226	6444
34	228	6292
35	229	6157
36	231	6027
37	233	5913
38	236	5824
39	237	5704
40	239	5592
41	240	5492
42	244	5432
43	250	5443
44	252	5348
45	253	5254
46	254	5162
47	256	5091
48	257	5007
49	260	4947
50	262	4875
51	263	4801
52	264	4729
53	266	4664
54	268	4609
55	269	4543
56	272	4500
57	274	4452
58	275	4393
59	276	4337
60	278	4285
61	280	4246
62	282	4196
63	283	4151
64	286	4126
65	288	4080
66	290	4044
67	292	4006
68	294	3969
69	295	3928
70	297	3894
71	299	3855
72	301	3824
73	302	3788
74	304	3753
75	306	3722
76	308	3694
77	309	3663
78	311	3628
79	312	3597
80	314	3563
81	315	3535
82	317	3505
83	318	3472
84	320	3449
85	322	3423
86	324	3401
87	326	3379
88	327	3351
89	328	3321
90	329	3292
91	330	3263
92	331	3237
93	333	3213
94	335	3192
95	336	3172
96	338	3147
97	339	3122
98	340	3101
99	342	3080
100	343	3057
101	344	3034
102	346	3019
103	348	3001
104	349	2982
105	351	2963
106	352	2945
107	354	2926
108	355	2905
109	356	2884
110	357	2864
111	358	2845
112	361	2835
113	362	2819
114	364	2802
115	365	2783
116	366	2767
117	368	2751
118	369	2735
119	370	2717
120	371	2701
121	373	2687
122	375	2680
123	376	2662
124	378	2647
125	379	2630
126	380	2613
127	381	2596
128	382	2580
129	383	2565
130	385	2556
131	387	2545
132	388	2531
133	389	2516
134	390	2501
135	391	2486
136	392	2471
137	404	2524
138	406	2518
139	410	2522
140	415	2531
141	420	2542
142	422	2532
143	424	2520
144	425	2508
145	427	2498
146	430	2497
147	432	2489
148	434	2479
149	435	2469
150	438	2465
151	439	2454
152	441	2446
153	443	2438
154	445	2428
155	446	2418
156	448	2410
157	450	2401
158	453	2398
159	454	2386
160	455	2374
161	456	2363
162	457	2351
163	459	2342
164	461	2333
165	462	2321
166	463	2309
167	464	2299
168	465	2290
169	466	2279
170	467	2268
171	470	2264
172	474	2269
173	477	2267
174	479	2259
175	480	2249
176	481	2238
177	482	2229
178	483	2219
179	484	2208
180	486	2200
181	487	2191
182	488	2182
183	490	2174
184	491	2164
185	492	2154
186	493	2144
187	494	2135
188	495	2126
189	496	2116
190	497	2108
191	499	2099
192	500	2091
193	501	2084
194	502	2076
195	503	2067
196	504	2058
197	506	2049
198	507	2041
199	508	2032
200	509	2023
201	510	2015
202	511	2009
203	513	2002
204	514	1993
205	515	1985
206	516	1978
207	517	1969
208	518	1961
209	519	1953
210	520	1945
211	521	1939
212	522	1932
213	524	1925
214	525	1918
215	526	1911
216	527	1903
217	528	1896
218	529	1889
219	530	1881
220	531	1874
221	532	1866
222	534	1860
223	535	1854
224	536	1848
225	538	1842
226	539	1836
227	540	1829
228	541	1822
229	542	1815
230	543	1809
231	544	1802
232	545	1796
233	547	1791
234	548	1786
235	549	1780
236	551	1775
237	552	1769
238	553	1762
239	554	1756
240	555	1750
241	556	1743
242	557	1737
243	559	1732
244	561	1728
245	562	1724
246	563	1719
247	565	1713
248	566	1709
249	568	1704
250	569	1698
251	570	1692
252	571	1686
253	572	1681
254	573	1676
255	574	1670
256	575	1665
257	576	1659
258	578	1654
259	579	1648
260	580	1642
261	581	1636
262	582	1630
263	583	1625
264	584	1621
265	586	1618
266	587	1613
267	588	1608
268	590	1603
269	591	1598
270	592	1593
271	593	1588
272	594	1583
273	595	1578
274	597	1574
275	599	1572
276	600	1568
277	602	1564
278	603	1560
279	604	1555
280	606	1551
281	608	1548
282	610	1545
283	612	1543
284	613	1539
285	614	1534
286	615	1529
287	616	1524
288	617	1519
289	618	1514
290	619	1510
291	621	1505
292	622	1501
293	623	1497
294	624	1493
295	626	1488
296	627	1484
297	628	1479
298	629	1475
299	630	1471
300	631	1467
301	632	1462
302	634	1458
303	635	1454
304	636	1450
305	637	1446
306	638	1442
307	640	1438
308	641	1434
309	642	1430
310	643	1426
311	646	1424
312	647	1420
313	648	1417
314	649	1413
315	651	1409
316	652	1405
317	653	1401
318	654	1397
319	655	1392
320	656	1388
321	657	1385
322	659	1381
323	660	1377
324	661	1374
325	662	1370
326	663	1366
327	664	1362
328	666	1358
329	667	1355
